Date,Open,High,Low,Close,Adj Close,Volume
2019/02/04,1623,1649.63,1613.5,1633.31,1633.31,4911319
2019/02/01,1638.88,1673.06,1622.01,1626.23,1626.23,11484130
2019/01/31,1692.85,1736.411,1679.0821,1718.73,1718.73,10304330
2019/01/30,1623,1676.95,1619.68,1670.43,1670.43,5717042
2019/01/29,1631.27,1632.38,1590.72,1593.88,1593.88,4591586
2019/01/28,1643.59,1645,1614.09,1637.89,1637.89,4807564
2019/01/25,1670.5,1683.48,1661.6122,1670.57,1670.57,4933434
2019/01/24,1641.07,1657.2572,1631.7847,1654.93,1654.93,4077737
2019/01/23,1656,1657.43,1612,1640.02,1640.02,5192420
2019/01/22,1681,1681.8668,1610.2,1632.17,1632.17,6402655
2019/01/18,1712,1716.2,1691.54,1696.2,1696.2,5973318
2019/01/17,1680,1700.17,1677.5,1693.22,1693.22,4179836
2019/01/16,1684.22,1705,1675.8787,1683.78,1683.78,6343614
2019/01/15,1632,1675.16,1626.01,1674.56,1674.56,5964298
2019/01/14,1615,1648.2,1595.15,1617.21,1617.21,5989299
2019/01/11,1640.55,1660.294,1636.22,1640.56,1640.56,4670093
2019/01/10,1641.01,1663.25,1621.615,1656.22,1656.22,6487252
2019/01/09,1652.98,1667.7989,1641.3953,1659.42,1659.42,6333528
2019/01/08,1664.69,1676.61,1616.61,1656.58,1656.58,8830753
2019/01/07,1602.31,1634.56,1589.185,1629.51,1629.51,7971720
2019/01/04,1530,1594,1518.3101,1575.39,1575.39,9161701
2019/01/03,1520.01,1538,1497.11,1500.28,1500.28,6934218
2019/01/02,1465.2,1553.36,1460.93,1539.13,1539.13,7871967
2018/12/31,1510.8,1520.76,1487,1501.97,1501.97,6941598
2018/12/28,1473.35,1513.47,1449,1478.02,1478.02,8822598
2018/12/27,1454.2,1469,1390.31,1461.64,1461.64,9631228
2018/12/26,1368.89,1473.1567,1363.01,1470.9,1470.9,10332870
2018/12/24,1346,1396.03,1307,1343.96,1343.96,7219996
2018/12/21,1464.99,1480,1363.96,1377.45,1377.45,13556470
2018/12/20,1484,1509.5,1432.69,1460.83,1460.83,9912659
2018/12/19,1543.05,1584.53,1483.18,1495.08,1495.08,8624401
2018/12/18,1540,1567.55,1523.01,1551.48,1551.48,6468073
2018/12/17,1566,1576.13,1505.01,1520.91,1520.91,8729020
2018/12/14,1638,1642.57,1585,1591.91,1591.91,6347659
2018/12/13,1680,1692.12,1641.5,1658.38,1658.38,5249043
2018/12/12,1669,1704.99,1660.27,1663.54,1663.54,6581356
2018/12/11,1678,1679.4684,1619.6,1643.24,1643.24,6217833
2018/12/10,1623.84,1657.99,1590.87,1641.03,1641.03,7467159
2018/12/07,1705.07,1718.9262,1625.46,1629.13,1629.13,7508939
2018/12/06,1614.87,1701.05,1609.85,1699.19,1699.19,8701197
2018/12/04,1756,1770.3382,1665,1668.4,1668.4,8653416
2018/12/03,1769.46,1778.34,1730,1772.36,1772.36,6840412
2018/11/30,1679.5,1696,1666.5,1690.17,1690.17,5744168
2018/11/29,1674.99,1689.99,1652.331,1673.57,1673.57,6600424
2018/11/28,1613.92,1681.45,1601.215,1677.75,1677.75,8429894
2018/11/27,1575.99,1597.65,1558.01,1581.42,1581.42,5758441
2018/11/26,1539,1584.81,1524.22,1581.33,1581.33,6226531
2018/11/23,1517,1536.2,1501.81,1502.06,1502.06,2707642
2018/11/21,1542.99,1550,1515,1516.73,1516.73,5707400
2018/11/20,1437.5,1534.75,1420,1495.46,1495.46,10824410
2018/11/19,1577.01,1581.19,1503.36,1512.29,1512.29,7741370
2018/11/16,1587.5,1614.48,1573.12,1593.41,1593.41,6057199
2018/11/15,1581.01,1624.82,1546.51,1619.44,1619.44,8379824
2018/11/14,1656.32,1672.9952,1597.07,1599.01,1599.01,6439170
2018/11/13,1649.29,1677.0638,1613.75,1631.17,1631.17,5901499
2018/11/12,1698.24,1708.55,1630.01,1636.85,1636.85,6763693
2018/11/09,1732.5,1743.9206,1701.87,1712.43,1712.43,5892058
2018/11/08,1755,1784,1725.11,1754.91,1754.91,6520345
2018/11/07,1673,1759.23,1664.075,1755.49,1755.49,8166777
2018/11/06,1618.35,1665,1614.55,1642.81,1642.81,4206093
2018/11/05,1657.57,1658.09,1596.36,1627.8,1627.8,5615749
