Date,Open,High,Low,Close,Adj Close,Volume
2019/02/04,177.29,177.78,175.66,177.55,177.55,4525268
2019/02/01,179.55,180.49,176.48,176.72,176.72,6513837
2019/01/31,180.25,181.85,176.87,178.78,178.78,10427580
2019/01/30,182.92,187.7923,178.67,181.77,181.77,9486888
2019/01/29,183.28,183.72,180.97,182.17,182.17,3400159
2019/01/28,183.06,183.72,181.83,183.6,183.6,4116860
2019/01/25,188.77,189.42,183.93,184,184,4401268
2019/01/24,186.86,187.88,185.94,187.37,187.37,3213548
2019/01/23,184.78,186.17,184.11,186.09,186.09,2485889
2019/01/22,182.25,185.48,182.25,184.57,184.57,3187090
2019/01/18,183.04,183.26,180.94,182.57,182.57,3487954
2019/01/17,179.25,181.11,179.03,181.11,181.11,3010955
2019/01/16,180.94,181.53,179.14,179.35,179.35,3365719
2019/01/15,181.47,183.21,180.74,181.02,181.02,3856139
2019/01/14,181.42,181.75,180.69,181.22,181.22,1882717
2019/01/11,180.59,182.4,180.46,182.37,182.37,2347641
2019/01/10,179.84,181.875,179.3201,181.55,181.55,2481865
2019/01/09,180.56,180.9,179.19,180.29,180.29,2677850
2019/01/08,181.96,182.29,179.91,180.6,180.6,2892406
2019/01/07,178.14,181.88,178.14,180.22,180.22,3145109
2019/01/04,176.03,179.2,175.6901,178.28,178.28,3179133
2019/01/03,175.45,176.45,174.41,174.9,174.9,3719301
2019/01/02,175.41,176.3,174.168,176.06,176.06,2547222
2018/12/31,175.96,177.8,175.6,177.57,177.57,2482576
2018/12/28,176.3,177.5,174.85,175.56,175.56,2890778
2018/12/27,173.29,175.71,170.73,175.71,175.71,3912836
2018/12/26,170.09,174.04,169.04,174.03,174.03,4014787
2018/12/24,174.24,175.27,170.17,170.28,170.28,2400878
2018/12/21,173.53,177.65,173.53,174.15,174.15,8510725
2018/12/20,178.21,178.8122,172.54,173.68,173.68,5638681
2018/12/19,180.95,182.98,178.58,179.16,179.16,3873687
2018/12/18,182.24,182.61,179.06,179.71,179.71,4224478
2018/12/17,182.8,183.62,180.2,180.79,180.79,4525694
2018/12/14,185.26,185.26,182.2,183.29,183.29,4449968
2018/12/13,184,186.76,183.81,186.43,186.43,2613231
2018/12/12,183.93,184.84,182.35,183.48,183.48,3024645
2018/12/11,186.57,186.83,182.87,183.59,183.59,2669676
2018/12/10,182.96,185.09,180.55,184.65,184.65,3084901
2018/12/07,185.33,187.2,182.67,182.96,182.96,3084950
2018/12/06,182.74,185.75,182.1,185.45,185.45,4808147
2018/12/04,185.79,188.08,184.9,185.04,185.04,4113268
2018/12/03,188.1,188.42,184.67,185.37,185.37,4394763
2018/11/30,188.34,189.23,186.76,188.51,188.51,6631771
2018/11/29,190.72,190.88,188.61,189.26,189.26,4610851
2018/11/28,185.97,188.05,184.72,187.85,187.85,3278899
2018/11/27,183.33,184.64,183.19,184.63,184.63,2190880
2018/11/26,182.4,184.09,182.07,183.89,183.89,3666518
2018/11/23,182.52,183,181.07,181.93,181.93,1747670
2018/11/21,183.21,185.57,182.7,182.72,182.72,3410621
2018/11/20,185.67,186.63,183.03,183.71,183.71,3708232
2018/11/19,187.74,188.9,185.79,186.72,186.72,3707962
2018/11/16,183.5,187.77,183.42,187.59,187.59,3694139
2018/11/15,182.97,183.98,181.52,183.56,183.56,3350815
2018/11/14,184.22,185.09,183.36,183.85,183.85,3400427
2018/11/13,183.94,184.92,183.32,184.01,184.01,2353001
2018/11/12,185.95,187.42,183.78,184.37,184.37,3056696
2018/11/09,186,186.58,185.07,185.94,185.94,3236312
2018/11/08,184.29,186.04,184.08,185.48,185.48,3302497
2018/11/07,183,184.48,181.88,184.25,184.25,4250885
2018/11/06,180.03,182.86,179.49,182.71,182.71,4863546
2018/11/05,177.41,181.1,177,180.39,180.39,4703847
