Date,Open,High,Low,Close,Adj Close,Volume
16:00,312.49,322.44,312.2494,321.35,321.35,"6,739,021"
2019/02/04,312.98,315.3,301.88,312.89,312.89,7344076
2019/02/01,305.42,316.1,303.5,312.21,312.21,7263618
2019/01/31,301,311.5636,294,307.02,307.02,12545190
2019/01/30,300.45,309,298.49,308.77,308.77,10594040
2019/01/29,295.27,298.5566,291.8,297.46,297.46,4602933
2019/01/28,292.91,297.46,287.75,296.38,296.38,6409477
2019/01/25,294.39,298.5195,289.55,297.04,297.04,7102781
2019/01/24,283.03,293.68,279.2831,291.51,291.51,7990911
2019/01/23,292.5,294.5,281.69,287.59,287.59,12513080
2019/01/22,304.82,308,295.5,298.92,298.92,12052130
2019/01/18,323,327.1297,299.7301,302.26,302.26,24079260
2019/01/17,346.21,351.5,344.15,347.31,347.31,3661162
2019/01/16,344.78,352,343.5,346.05,346.05,4677227
2019/01/15,335,348.8,334.5,344.43,344.43,6047890
2019/01/14,342.38,342.5,334,334.4,334.4,5232690
2019/01/11,342.09,348.41,338.77,347.26,347.26,5035078
2019/01/10,334.4,345.39,331.79,344.97,344.97,6049621
2019/01/09,335.5,343.5025,331.47,338.53,338.53,5426618
2019/01/08,341.96,344.01,327.02,335.35,335.35,6994427
2019/01/07,321.72,336.74,317.7508,334.96,334.96,7542338
2019/01/04,306,318,302.73,317.69,317.69,7382755
2019/01/03,307,309.4,297.38,300.36,300.36,6948577
2019/01/02,306.1,315.13,298.8,310.12,310.12,11611270
2018/12/31,337.79,339.21,325.26,332.8,332.8,6294298
2018/12/28,323.1,336.24,318.41,333.87,333.87,9918777
2018/12/27,319.84,322.1717,301.5,316.13,316.13,8567385
2018/12/26,300,326.97,294.09,326.09,326.09,8143102
2018/12/24,313.5,314.5,295.195,295.39,295.39,5559913
2018/12/21,317.4,323.47,312.44,319.77,319.77,7997219
2018/12/20,327.054,330.29,311.869,315.38,315.38,9049389
2018/12/19,337.6,347.01,329.74,332.97,332.97,8256374
2018/12/18,350.54,351.55,333.69,337.03,337.03,7084887
2018/12/17,362,365.7,343.88,348.42,348.42,7664832
2018/12/14,375,377.87,364.33,365.71,365.71,6327625
2018/12/13,370.15,377.44,366.75,376.79,376.79,7348168
2018/12/12,369.42,371.91,365.16,366.6,366.6,5019725
2018/12/11,369.91,372.1689,360.23,366.76,366.76,6298472
2018/12/10,360,365.98,353.12,365.15,365.15,6575341
2018/12/07,369,379.49,357.65,357.965,357.965,11484350
2018/12/06,356.01,367.38,350.76,363.06,363.06,7828689
2018/12/04,356.05,368.68,352,359.7,359.7,8430213
2018/12/03,360,366,352,358.49,358.49,8295843
2018/11/30,341.83,351.6,338.2648,350.48,350.48,5621104
2018/11/29,347,347.5,339.55,341.17,341.17,3076026
2018/11/28,345.99,348.28,342.21,347.87,347.87,4114038
2018/11/27,340.05,346.96,335.5,343.92,343.92,6347004
2018/11/26,325,346.22,325,346,346,7973119
2018/11/23,334.345,337.5,325.55,325.83,325.83,4202642
2018/11/21,352,353.1,337.3995,338.19,338.19,4677389
2018/11/20,341.75,349.8,333.55,347.49,347.49,7991253
2018/11/19,356.34,366.75,352.88,353.47,353.47,9698559
2018/11/16,345.19,355.7,345.1201,354.31,354.31,7194458
2018/11/15,342.33,348.58,339.04,348.44,348.44,4600130
2018/11/14,342.7,347.11,337.15,344,344,5032083
2018/11/13,333.16,344.7,332.2,338.73,338.73,5422756
2018/11/12,348.37,349.78,330.34,331.28,331.28,6916965
2018/11/09,349,354,345.23,350.51,350.51,5093456
2018/11/08,348.5,357.5755,348.44,351.4,351.4,7080203
2018/11/07,343.34,351.18,340.8,348.16,348.16,7366706
2018/11/06,339.07,348.8,336.09,341.06,341.06,6751930
2018/11/05,340.5,343.955,330.14,341.4,341.4,7820845
